index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
124743,ARE,Asia,United Arab Emirates,2021-11-12,740801.0,72.0,73.143,2142.0,0.0,0.571,74146.216,7.206,7.321,214.391,0.0,0.057,,,,,,,,,,264815.0,96405654.0,9649.17,26.505,261988.0,26.222,,,tests performed,21477305.0,9781743.0,8812470.0,2883092.0,42818.0,28896.0,214.96,97.9,88.2,28.86,2892.0,,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,
125395,GBR,Europe,United Kingdom,2021-11-12,9534544.0,39149.0,35418.0,143116.0,145.0,156.714,139788.117,573.972,519.271,2098.256,2.126,2.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,,
126056,USA,North America,United States,2021-11-12,46991304.0,139775.0,79253.429,762520.0,2483.0,1149.571,141151.025,419.852,238.059,2290.434,7.458,3.453,,,,,,,,,,,,,,,,,,,437352000.0,225606197.0,193291357.0,27609592.0,0.0,624514.0,130.04,67.08,57.47,8.21,1857.0,,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,
127327,URY,South America,Uruguay,2021-11-12,396175.0,211.0,180.143,6099.0,2.0,2.143,113675.099,60.543,51.689,1749.995,0.574,0.615,,,,,,,,,,,,,,,,,,,6694483.0,2771747.0,2634358.0,1288378.0,11821.0,5568.0,192.09,79.53,75.59,36.97,1598.0,,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,,,,
127935,UZB,Asia,Uzbekistan,2021-11-12,189186.0,294.0,257.857,1351.0,2.0,2.429,5574.826,8.663,7.598,39.811,0.059,0.072,,,,,,,,,,,,,,,,,,,29136572.0,15199786.0,,,315089.0,264230.0,85.86,44.79,,,7786.0,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,,
128303,VUT,Oceania,Vanuatu,2021-11-12,6.0,0.0,0.0,1.0,0.0,0.0,19.08,0.0,0.0,3.18,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,,,,
128920,VAT,Europe,Vatican,2021-11-12,27.0,0.0,0.0,,,0.0,33251.232,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,75.12,,,,,
129529,VEN,South America,Venezuela,2021-11-12,417998.0,1808.0,917.714,5010.0,14.0,9.143,14561.88,62.986,31.971,174.534,0.488,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,,,,
130189,VNM,Asia,Vietnam,2021-11-12,1009879.0,8982.0,8047.429,22930.0,81.0,74.0,10287.166,91.495,81.975,233.577,0.825,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,,,,
131663,YEM,Asia,Yemen,2021-11-12,9912.0,5.0,9.857,1921.0,1.0,2.286,325.083,0.164,0.323,63.003,0.033,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,,,
132268,ZMB,Africa,Zambia,2021-11-12,209963.0,10.0,15.857,3664.0,0.0,0.286,11097.025,0.529,0.838,193.651,0.0,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,,,,
132871,ZWE,Africa,Zimbabwe,2021-11-12,133329.0,0.0,31.0,4694.0,0.0,1.286,8834.315,0.0,2.054,311.022,0.0,0.085,,,,,,,,,,,,,,,,,,,6130358.0,3443813.0,2686545.0,,28680.0,20000.0,40.62,22.82,17.8,,1325.0,,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,
